age,experience,identifier,type,timeTaken
24,intermediate,no-pain-no-gain,kebabCase,1610
24,intermediate,user-login-details,kebabCase,2110
24,intermediate,apple-care,kebabCase,1230
24,intermediate,ciao-a-tutti,kebabCase,1219
24,intermediate,asSoonAsPossible,camelCase,2530
24,intermediate,refreshPage,camelCase,1939
24,intermediate,moveSouth,camelCase,2035
24,intermediate,startProcess,camelCase,1631
24,intermediate,move-south,kebabCase,1408
24,intermediate,refresh-page,kebabCase,1677
24,intermediate,calculate-total,kebabCase,1162
24,intermediate,calculateTotal,camelCase,3002
24,intermediate,ciaoATutti,camelCase,1151
24,intermediate,as-soon-as-possible,kebabCase,2389
24,intermediate,noPainNoGain,camelCase,6207
24,intermediate,userLoginDetails,camelCase,3862
24,intermediate,sendMessage,camelCase,1579
24,intermediate,send-message,kebabCase,2068
24,intermediate,appleCare,camelCase,1568
24,intermediate,start-process,kebabCase,1614
