age,experience,identifier,type,timeTaken
21,advanced,send-message,kebabCase,2060
21,advanced,user-login-details,kebabCase,3992
21,advanced,calculate-total,kebabCase,2824
21,advanced,noPainNoGain,camelCase,5827
21,advanced,sendMessage,camelCase,3915
21,advanced,move-south,kebabCase,2461
21,advanced,no-pain-no-gain,kebabCase,3105
21,advanced,asSoonAsPossible,camelCase,5246
21,advanced,refresh-page,kebabCase,2691
21,advanced,refreshPage,kebabCase,4252
21,advanced,startProcess,camelCase,3850
21,advanced,moveSouth,camelCase,3629
21,advanced,start-process,kebabCase,3513
21,advanced,as-soon-as-possible,kebabCase,3047
21,advanced,userLoginDetails,camelCase,4649
21,advanced,calculateTotal,camelCase,3997
21,advanced,apple-care,kebabCase,4483
21,advanced,ciao-a-tutti,kebabCase,2522
21,advanced,appleCare,camelCase,4023
21,advanced,ciaoATutti,camelCase,4019
