age,experience,identifier,type,timeTaken
21,beginner,as-soon-as-possible,kebabCase,2699
21,beginner,ciaoATutti,camelCase,6272
21,beginner,userLoginDetails,camelCase,2945
21,beginner,move-south,kebabCase,2716
21,beginner,asSoonAsPossible,camelCase,1928
21,beginner,calculate-total,kebabCase,2180
21,beginner,noPainNoGain,camelCase,4736
21,beginner,send-message,kebabCase,1655
21,beginner,sendMessage,camelCase,2418
21,beginner,start-process,kebabCase,1797
21,beginner,refresh-page,kebabCase,1875
21,beginner,moveSouth,camelCase,1615
21,beginner,startProcess,camelCase,1704
21,beginner,no-pain-no-gain,kebabCase,3312
21,beginner,calculateTotal,camelCase,2270
21,beginner,ciao-a-tutti,kebabCase,3674
21,beginner,apple-care,kebabCase,3063
21,beginner,user-login-details,kebabCase,3953
21,beginner,appleCare,camelCase,3984
21,beginner,refreshPage,camelCase,1989
