age,experience,identifier,type,timeTaken
24,intermediate,move-south,kebabCase,2711
24,intermediate,send-message,kebabCase,2697
24,intermediate,start-process,kebabCase,1572
24,intermediate,calculateTotal,camelCase,2693
24,intermediate,moveSouth,camelCase,2782
24,intermediate,noPainNoGain,camelCase,2738
24,intermediate,refreshPage,kebabCase,2480
24,intermediate,no-pain-no-gain,kebabCase,4668
24,intermediate,as-soon-as-possible,kebabCase,3041
24,intermediate,startProcess,camelCase,2169
24,intermediate,refresh-page,kebabCase,2696
24,intermediate,asSoonAsPossible,camelCase,3629
24,intermediate,sendMessage,camelCase,2472
24,intermediate,user-login-details,kebabCase,2887
24,intermediate,userLoginDetails,camelCase,2853
24,intermediate,calculate-total,kebabCase,2041
24,intermediate,appleCare,camelCase,3398
24,intermediate,apple-care,kebabCase,2833
24,intermediate,ciaoATutti,camelCase,9147
24,intermediate,ciao-a-tutti,kebabCase,5944
