age,experience,identifier,type,timeTaken
23,intermediate,calculateTotal,camelCase,3599
23,intermediate,ciao-a-tutti,kebabCase,5018
23,intermediate,no-pain-no-gain,kebabCase,3741
23,intermediate,move-south,kebabCase,2160
23,intermediate,userLoginDetails,camelCase,2434
23,intermediate,noPainNoGain,camelCase,4847
23,intermediate,user-login-details,kebabCase,3163
23,intermediate,sendMessage,camelCase,2389
23,intermediate,ciaoATutti,camelCase,4153
23,intermediate,moveSouth,camelCase,3766
23,intermediate,start-process,kebabCase,2888
23,intermediate,refresh-page,kebabCase,1974
23,intermediate,refreshPage,camelCase,2408
23,intermediate,as-soon-as-possible,kebabCase,2867
23,intermediate,apple-care,kebabCase,2539
23,intermediate,calculate-total,kebabCase,2904
23,intermediate,send-message,kebabCase,3227
23,intermediate,startProcess,camelCase,2798
23,intermediate,asSoonAsPossible,camelCase,2854
23,intermediate,appleCare,camelCase,3792
