age,experience,identifier,type,timeTaken
67,beginner,userLoginDetails,camelCase,5745
67,beginner,noPainNoGain,camelCase,2783
67,beginner,startProcess,camelCase,2998
67,beginner,calculateTotal,camelCase,2392
67,beginner,send-message,kebabCase,5422
67,beginner,user-login-details,kebabCase,3300
67,beginner,moveSouth,camelCase,8995
67,beginner,sendMessage,camelCase,2918
67,beginner,as-soon-as-possible,kebabCase,6255
67,beginner,calculate-total,kebabCase,3154
67,beginner,move-south,kebabCase,2410
67,beginner,start-process,kebabCase,2260
67,beginner,refreshPage,camelCase,3626
67,beginner,asSoonAsPossible,camelCase,1840
67,beginner,refresh-page,kebabCase,5492
67,beginner,no-pain-no-gain,kebabCase,1842
67,beginner,ciaoATutti,camelCase,2102
67,beginner,appleCare,camelCase,6782
67,beginner,apple-care,kebabCase,2159
67,beginner,ciao-a-tutti,kebabCase,2005
