age,experience,identifier,type,timeTaken
39,advanced,asSoonAsPossible,camelCase,3183
39,advanced,appleCare,camelCase,2856
39,advanced,send-message,kebabCase,2275
39,advanced,no-pain-no-gain,kebabCase,2200
39,advanced,noPainNoGain,camelCase,5255
39,advanced,as-soon-as-possible,kebabCase,3782
39,advanced,userLoginDetails,camelCase,3713
39,advanced,move-south,kebabCase,2669
39,advanced,user-login-details,kebabCase,2607
39,advanced,ciaoATutti,camelCase,5843
39,advanced,apple-care,kebabCase,2041
39,advanced,calculate-total,kebabCase,3340
39,advanced,sendMessage,camelCase,1971
39,advanced,calculateTotal,camelCase,2185
39,advanced,refreshPage,kebabCase,2188
39,advanced,start-process,kebabCase,2252
39,advanced,refresh-page,kebabCase,2096
39,advanced,ciao-a-tutti,kebabCase,2006
39,advanced,moveSouth,camelCase,2593
39,advanced,startProcess,camelCase,2276
