age,experience,identifier,type,timeTaken
68,beginner,move-south,kebabCase,5965
68,beginner,apple-care,kebabCase,5227
68,beginner,calculateTotal,camelCase,5832
68,beginner,moveSouth,camelCase,4154
68,beginner,ciaoATutti,camelCase,9509
68,beginner,appleCare,camelCase,9456
68,beginner,calculate-total,kebabCase,2636
68,beginner,user-login-details,kebabCase,5196
68,beginner,sendMessage,camelCase,5306
68,beginner,send-message,kebabCase,2759
68,beginner,ciao-a-tutti,kebabCase,6135
68,beginner,userLoginDetails,camelCase,7189
68,beginner,refresh-page,kebabCase,6013
68,beginner,start-process,kebabCase,2953
68,beginner,refreshPage,camelCase,5817
68,beginner,startProcess,camelCase,6848
68,beginner,as-soon-as-possible,kebabCase,9231
68,beginner,no-pain-no-gain,kebabCase,4630
68,beginner,asSoonAsPossible,camelCase,4271
68,beginner,noPainNoGain,camelCase,5881
