age,experience,identifier,type,timeTaken
21,intermediate,asSoonAsPossible,camelCase,2893
21,intermediate,as-soon-as-possible,kebabCase,2999
21,intermediate,calculate-total,kebabCase,3156
21,intermediate,startProcess,camelCase,2229
21,intermediate,userLoginDetails,camelCase,4460
21,intermediate,no-pain-no-gain,kebabCase,3107
21,intermediate,apple-care,kebabCase,2983
21,intermediate,user-login-details,kebabCase,6781
21,intermediate,send-message,kebabCase,5333
21,intermediate,appleCare,camelCase,3548
21,intermediate,refreshPage,kebabCase,2398
21,intermediate,calculateTotal,camelCase,2982
21,intermediate,sendMessage,camelCase,3658
21,intermediate,ciao-a-tutti,kebabCase,3353
21,intermediate,move-south,kebabCase,2405
21,intermediate,start-process,kebabCase,1943
21,intermediate,refresh-page,kebabCase,2899
21,intermediate,noPainNoGain,camelCase,3909
21,intermediate,moveSouth,camelCase,2384
21,intermediate,ciaoATutti,camelCase,5041
