age,experience,identifier,type,timeTaken
42,beginner,calculate-total,kebabCase,5385
42,beginner,sendMessage,camelCase,2209
42,beginner,userLoginDetails,camelCase,3961
42,beginner,refreshPage,camelCase,2384
42,beginner,user-login-details,kebabCase,9726
42,beginner,refresh-page,kebabCase,3847
42,beginner,send-message,kebabCase,1800
42,beginner,move-south,kebabCase,1606
42,beginner,moveSouth,camelCase,4403
42,beginner,calculateTotal,camelCase,2437
42,beginner,start-process,kebabCase,3191
42,beginner,startProcess,camelCase,4025
42,beginner,noPainNoGain,camelCase,6390
42,beginner,as-soon-as-possible,kebabCase,2374
42,beginner,no-pain-no-gain,kebabCase,6600
42,beginner,asSoonAsPossible,camelCase,2339
42,beginner,ciaoATutti,camelCase,4736
42,beginner,apple-care,kebabCase,6046
42,beginner,ciao-a-tutti,kebabCase,1452
42,beginner,appleCare,camelCase,6448
