age,experience,identifier,type,timeTaken
26,advanced,move-south,kebabCase,2152
26,advanced,apple-care,kebabCase,2372
26,advanced,send-message,kebabCase,1263
26,advanced,ciao-a-tutti,kebabCase,3558
26,advanced,noPainNoGain,camelCase,4758
26,advanced,sendMessage,camelCase,2059
26,advanced,start-process,kebabCase,2704
26,advanced,ciaoATutti,camelCase,2105
26,advanced,appleCare,camelCase,1681
26,advanced,userLoginDetails,camelCase,2646
26,advanced,calculateTotal,camelCase,2537
26,advanced,as-soon-as-possible,kebabCase,2196
26,advanced,user-login-details,kebabCase,1999
26,advanced,calculate-total,kebabCase,1982
26,advanced,asSoonAsPossible,camelCase,2598
26,advanced,no-pain-no-gain,kebabCase,2058
26,advanced,moveSouth,camelCase,1939
26,advanced,startProcess,camelCase,1459
26,advanced,refreshPage,kebabCase,2718
26,advanced,refresh-page,kebabCase,1849
