age,experience,identifier,type,timeTaken
21,beginner,noPainNoGain,camelCase,10114
21,beginner,refreshPage,camelCase,13300
21,beginner,send-message,kebabCase,3806
21,beginner,no-pain-no-gain,kebabCase,3767
21,beginner,calculate-total,kebabCase,5565
21,beginner,moveSouth,camelCase,9779
21,beginner,startProcess,camelCase,1661
21,beginner,calculateTotal,camelCase,1690
21,beginner,as-soon-as-possible,kebabCase,5955
21,beginner,user-login-details,kebabCase,2250
21,beginner,ciao-a-tutti,kebabCase,3305
21,beginner,start-process,kebabCase,9661
21,beginner,refresh-page,kebabCase,4773
21,beginner,move-south,kebabCase,4294
21,beginner,asSoonAsPossible,camelCase,6476
21,beginner,userLoginDetails,camelCase,2617
21,beginner,appleCare,camelCase,2172
21,beginner,ciaoATutti,camelCase,4321
21,beginner,sendMessage,camelCase,1817
21,beginner,apple-care,kebabCase,3429
