age,experience,identifier,type,timeTaken
56,beginner,asSoonAsPossible,camelCase,3114
56,beginner,appleCare,camelCase,4929
56,beginner,ciao-a-tutti,kebabCase,2343
56,beginner,sendMessage,camelCase,4787
56,beginner,calculate-total,kebabCase,2779
56,beginner,move-south,kebabCase,8177
56,beginner,userLoginDetails,camelCase,4284
56,beginner,user-login-details,kebabCase,3171
56,beginner,apple-care,kebabCase,5204
56,beginner,ciaoATutti,camelCase,8197
56,beginner,moveSouth,camelCase,7751
56,beginner,start-process,kebabCase,5463
56,beginner,no-pain-no-gain,kebabCase,4658
56,beginner,calculateTotal,camelCase,3026
56,beginner,refresh-page,kebabCase,6765
56,beginner,send-message,kebabCase,2152
56,beginner,noPainNoGain,camelCase,3077
56,beginner,startProcess,camelCase,3805
56,beginner,refreshPage,kebabCase,3550
56,beginner,as-soon-as-possible,kebabCase,6736
