age,experience,identifier,type,timeTaken
65,beginner,refresh-page,kebabCase,14894
65,beginner,apple-care,kebabCase,11469
65,beginner,noPainNoGain,camelCase,26122
65,beginner,ciaoATutti,camelCase,21368
65,beginner,send-message,kebabCase,12276
65,beginner,appleCare,camelCase,3445
65,beginner,calculate-total,kebabCase,17787
65,beginner,userLoginDetails,camelCase,28361
65,beginner,as-soon-as-possible,kebabCase,32891
65,beginner,sendMessage,camelCase,21538
65,beginner,calculateTotal,camelCase,12278
65,beginner,asSoonAsPossible,camelCase,6128
65,beginner,startProcess,camelCase,35590
65,beginner,user-login-details,kebabCase,12181
65,beginner,moveSouth,camelCase,5611
65,beginner,move-south,kebabCase,12357
65,beginner,ciao-a-tutti,kebabCase,10024
65,beginner,start-process,kebabCase,18109
65,beginner,refreshPage,camelCase,9354
65,beginner,no-pain-no-gain,kebabCase,11369
