age,experience,identifier,type,timeTaken
19,beginner,no-pain-no-gain,kebabCase,4534
19,beginner,refresh-page,kebabCase,4050
19,beginner,asSoonAsPossible,camelCase,4660
19,beginner,start-process,kebabCase,4708
19,beginner,user-login-details,kebabCase,4533
19,beginner,moveSouth,camelCase,4852
19,beginner,calculate-total,kebabCase,3998
19,beginner,appleCare,camelCase,3551
19,beginner,send-message,kebabCase,4199
19,beginner,startProcess,camelCase,4323
19,beginner,ciaoATutti,camelCase,3892
19,beginner,calculateTotal,camelCase,3761
19,beginner,noPainNoGain,camelCase,4078
19,beginner,sendMessage,camelCase,3576
19,beginner,move-south,kebabCase,4466
19,beginner,refreshPage,camelCase,4086
19,beginner,as-soon-as-possible,kebabCase,4094
19,beginner,ciao-a-tutti,kebabCase,4362
19,beginner,apple-care,kebabCase,3519
19,beginner,userLoginDetails,camelCase,3943
