age,experience,identifier,type,timeTaken
21,advanced,send-message,kebabCase,2060
21,advanced,user-login-details,kebabCase,3992
21,advanced,calculate-total,kebabCase,2824
21,advanced,noPainNoGain,camelCase,5827
21,advanced,sendMessage,camelCase,3915
21,advanced,move-south,kebabCase,2461
21,advanced,no-pain-no-gain,kebabCase,3105
21,advanced,asSoonAsPossible,camelCase,5246
21,advanced,refresh-page,kebabCase,2691
21,advanced,refreshPage,camelCase,4252
21,advanced,startProcess,camelCase,3850
21,advanced,moveSouth,camelCase,3629
21,advanced,start-process,kebabCase,3513
21,advanced,as-soon-as-possible,kebabCase,3047
21,advanced,userLoginDetails,camelCase,4649
21,advanced,calculateTotal,camelCase,3997
21,advanced,apple-care,kebabCase,4483
21,advanced,ciao-a-tutti,kebabCase,2522
21,advanced,appleCare,camelCase,4023
21,advanced,ciaoATutti,camelCase,4019
22,intermediate,start-process,kebabCase,3293
22,intermediate,calculate-total,kebabCase,3589
22,intermediate,moveSouth,camelCase,3056
22,intermediate,no-pain-no-gain,kebabCase,3277
22,intermediate,move-south,kebabCase,3575
22,intermediate,noPainNoGain,camelCase,4508
22,intermediate,appleCare,camelCase,11171
22,intermediate,ciao-a-tutti,kebabCase,6580
22,intermediate,calculateTotal,camelCase,4801
22,intermediate,apple-care,kebabCase,4019
22,intermediate,ciaoATutti,camelCase,4019
22,intermediate,user-login-details,kebabCase,4447
22,intermediate,sendMessage,camelCase,4608
22,intermediate,refresh-page,kebabCase,2438
22,intermediate,startProcess,camelCase,3444
22,intermediate,userLoginDetails,camelCase,4129
22,intermediate,refreshPage,camelCase,7666
22,intermediate,as-soon-as-possible,kebabCase,5477
22,intermediate,send-message,kebabCase,2410
22,intermediate,asSoonAsPossible,camelCase,3636
24,intermediate,move-south,kebabCase,2711
24,intermediate,send-message,kebabCase,2697
24,intermediate,start-process,kebabCase,1572
24,intermediate,calculateTotal,camelCase,2693
24,intermediate,moveSouth,camelCase,2782
24,intermediate,noPainNoGain,camelCase,2738
24,intermediate,refreshPage,camelCase,2480
