age,experience,identifier,type,timeTaken
62,beginner,calculate-total,kebabCase,10091
62,beginner,as-soon-as-possible,kebabCase,14854
62,beginner,asSoonAsPossible,camelCase,6688
62,beginner,calculateTotal,camelCase,11736
62,beginner,user-login-details,kebabCase,9875
62,beginner,userLoginDetails,camelCase,10894
62,beginner,refreshPage,camelCase,10183
62,beginner,move-south,kebabCase,7310
62,beginner,ciaoATutti,camelCase,9563
62,beginner,sendMessage,camelCase,9948
62,beginner,noPainNoGain,camelCase,15531
62,beginner,refresh-page,kebabCase,33552
62,beginner,start-process,kebabCase,5862
62,beginner,moveSouth,camelCase,6051
62,beginner,appleCare,camelCase,18193
62,beginner,apple-care,kebabCase,9469
62,beginner,send-message,kebabCase,17036
62,beginner,no-pain-no-gain,kebabCase,11705
62,beginner,ciao-a-tutti,kebabCase,5859
62,beginner,startProcess,camelCase,9284
