age,experience,identifier,type,timeTaken
22,intermediate,start-process,kebabCase,3293
22,intermediate,calculate-total,kebabCase,3589
22,intermediate,moveSouth,camelCase,3056
22,intermediate,no-pain-no-gain,kebabCase,3277
22,intermediate,move-south,kebabCase,3575
22,intermediate,noPainNoGain,camelCase,4508
22,intermediate,appleCare,camelCase,11171
22,intermediate,ciao-a-tutti,kebabCase,6580
22,intermediate,calculateTotal,camelCase,4801
22,intermediate,apple-care,kebabCase,4019
22,intermediate,ciaoATutti,camelCase,4019
22,intermediate,user-login-details,kebabCase,4447
22,intermediate,sendMessage,camelCase,4608
22,intermediate,refresh-page,kebabCase,2438
22,intermediate,startProcess,camelCase,3444
22,intermediate,userLoginDetails,camelCase,4129
22,intermediate,refreshPage,kebabCase,7666
22,intermediate,as-soon-as-possible,kebabCase,5477
22,intermediate,send-message,kebabCase,2410
22,intermediate,asSoonAsPossible,camelCase,3636
