age,experience,identifier,type,timeTaken
24,intermediate,appleCare,camelCase,5637
24,intermediate,move-south,kebabCase,3061
24,intermediate,user-login-details,kebabCase,2770
24,intermediate,apple-care,kebabCase,2701
24,intermediate,sendMessage,camelCase,2098
24,intermediate,userLoginDetails,camelCase,1767
24,intermediate,ciaoATutti,camelCase,1572
24,intermediate,send-message,kebabCase,1384
24,intermediate,ciao-a-tutti,kebabCase,2291
24,intermediate,calculateTotal,camelCase,1625
24,intermediate,calculate-total,kebabCase,3271
24,intermediate,moveSouth,camelCase,2070
24,intermediate,startProcess,camelCase,1289
24,intermediate,refresh-page,kebabCase,2185
24,intermediate,start-process,kebabCase,1467
24,intermediate,refreshPage,kebabCase,1213
24,intermediate,as-soon-as-possible,kebabCase,1951
24,intermediate,asSoonAsPossible,camelCase,2713
24,intermediate,noPainNoGain,camelCase,3045
24,intermediate,no-pain-no-gain,kebabCase,2703
