age,experience,identifier,type,timeTaken
22,intermediate,ciao-a-tutti,kebabCase,1966
22,intermediate,userLoginDetails,camelCase,2247
22,intermediate,apple-care,kebabCase,2734
22,intermediate,appleCare,camelCase,1721
22,intermediate,ciaoATutti,camelCase,3611
22,intermediate,start-process,kebabCase,4190
22,intermediate,as-soon-as-possible,kebabCase,4709
22,intermediate,startProcess,camelCase,3311
22,intermediate,moveSouth,camelCase,2850
22,intermediate,send-message,kebabCase,3897
22,intermediate,user-login-details,kebabCase,1652
22,intermediate,calculateTotal,camelCase,4477
22,intermediate,move-south,kebabCase,3282
22,intermediate,sendMessage,camelCase,4236
22,intermediate,calculate-total,kebabCase,2211
22,intermediate,no-pain-no-gain,kebabCase,5277
22,intermediate,refresh-page,kebabCase,3724
22,intermediate,refreshPage,kebabCase,3445
22,intermediate,noPainNoGain,camelCase,4475
22,intermediate,asSoonAsPossible,camelCase,4971
