age,experience,identifier,type,timeTaken
22,advanced,no-pain-no-gain,kebabCase,3626
22,advanced,noPainNoGain,camelCase,3953
22,advanced,asSoonAsPossible,camelCase,4177
22,advanced,refreshPage,kebabCase,2720
22,advanced,calculateTotal,camelCase,2148
22,advanced,as-soon-as-possible,kebabCase,3297
22,advanced,refresh-page,kebabCase,2239
22,advanced,sendMessage,camelCase,3546
22,advanced,move-south,kebabCase,1802
22,advanced,start-process,kebabCase,1243
22,advanced,userLoginDetails,camelCase,3288
22,advanced,calculate-total,kebabCase,2179
22,advanced,send-message,kebabCase,1802
22,advanced,startProcess,camelCase,2495
22,advanced,moveSouth,camelCase,1538
22,advanced,user-login-details,kebabCase,2392
22,advanced,ciao-a-tutti,kebabCase,1857
22,advanced,appleCare,camelCase,3153
22,advanced,apple-care,kebabCase,1872
22,advanced,ciaoATutti,camelCase,1947
