age,experience,identifier,type,timeTaken
26,intermediate,refresh-page,kebabCase,2179
26,intermediate,refreshPage,kebabCase,3087
26,intermediate,sendMessage,camelCase,6035
26,intermediate,no-pain-no-gain,kebabCase,5427
26,intermediate,apple-care,kebabCase,3578
26,intermediate,calculateTotal,camelCase,3449
26,intermediate,move-south,kebabCase,3174
26,intermediate,as-soon-as-possible,kebabCase,2282
26,intermediate,calculate-total,kebabCase,3092
26,intermediate,userLoginDetails,camelCase,3135
26,intermediate,noPainNoGain,camelCase,5764
26,intermediate,send-message,kebabCase,4227
26,intermediate,moveSouth,camelCase,5410
26,intermediate,ciao-a-tutti,kebabCase,9228
26,intermediate,startProcess,camelCase,4056
26,intermediate,ciaoATutti,camelCase,9402
26,intermediate,asSoonAsPossible,camelCase,2654
26,intermediate,appleCare,camelCase,1992
26,intermediate,user-login-details,kebabCase,4558
26,intermediate,start-process,kebabCase,2428
