age,experience,identifier,type,timeTaken
23,intermediate,moveSouth,camelCase,6080
23,intermediate,ciaoATutti,camelCase,4916
23,intermediate,calculateTotal,camelCase,3635
23,intermediate,send-message,kebabCase,3783
23,intermediate,userLoginDetails,camelCase,4008
23,intermediate,no-pain-no-gain,kebabCase,2664
23,intermediate,ciao-a-tutti,kebabCase,2715
23,intermediate,asSoonAsPossible,camelCase,2423
23,intermediate,user-login-details,kebabCase,3637
23,intermediate,start-process,kebabCase,2306
23,intermediate,move-south,kebabCase,2278
23,intermediate,refresh-page,kebabCase,2003
23,intermediate,appleCare,camelCase,4910
23,intermediate,startProcess,camelCase,3979
23,intermediate,refreshPage,camelCase,2847
23,intermediate,as-soon-as-possible,kebabCase,2894
23,intermediate,calculate-total,kebabCase,3058
23,intermediate,apple-care,kebabCase,6694
23,intermediate,sendMessage,camelCase,2389
23,intermediate,noPainNoGain,camelCase,10863
